2019,2018,2017,2016
一門深入研究、探討語言各個層面的學科，並將其理論與發現應用在現實生活中的美麗科學,"在接觸不了解的語言時能進行分析去揣摩其意思。
",分析各個語言的結構和其帶來的影響(文化和生活...etc),從語言中找出邏輯性進而掌握其規律，進而可以達成文化保存之目的。
為了讓我們了解不同語言之間的關聯,邏輯推理,是一種人文科學，可表現出該地民俗風情與社會文化,"對語言的分析，ex""嗎""和""呢""的差別"
語言學包含了很多種學科，像是語音學、構詞學。在語言的考題會由一些範例，要觀察例子並找出他的規律，並把這套規律套用在問題所中，來找出答案。,相當有趣而令人想要進一步了解的一門學問,用科學的角度去探討人類所使用的語言，並透過句法、詞彙等來交叉比較不同語言，進而明白句意，整理歸納出此種語言的邏輯及使用方式。,充滿邏輯性
從我開始上語言學之後，我學到邏輯思考。,語言學是一個非常多元的科目。解題時要運用充分的邏輯思考,語言學是非常活的一門學問，透過學習不同語系、文法和結構，賦予我們對不同文化的深層了解，是十分有趣的。,包含了句法結構、語音音韻等方面，從中可以分析出語言的演進
探究「文字」的使用方式及其含義，以了解語言對於人類的影響。,一門學科,結構分析、尋找規律、歷史文化、民族風情,語言學是人類文明發展的結晶，值得探究。
研究語言結構、邏輯與應用的學問,利用許多不同語言中的同一字彙互相比對，推測語言的發展歷史及親疏關係。,,语言学是人类延续，演变，发展之最好的证明。
science of language,語言學是一個研究人類語言語法意義以及結構的科學研究。,"是人類用來溝通的工具
充滿歷史意義",研究語言的結構、文法、語意、發展歷史等等，是一個涉及廣泛知識的領域
語言學是研究人類如何學習、發音、以及對話的一門學問。從一個人講的語言和句型可以得知他的國籍，而從他講話的方式可以知道他的心情和文字背後的意思。這些都包含在語言學的範圍。,我對語言學的了解就是它是語言和語言之間的關係。它是一種研究語言的科學，研究包含語法、發音和句型結構等。,依我了解，語言牽涉到一個族群對外在事物的了解，當然其會反映在他們特有的語言中，有些文字是以圖像來記物所被衍生而出的，而又有些是由談吐衍生出來的，因此具有音節。,"語言學包含音學、音韻學、句法學及語意學，
由符號之間的潛在規則可以研究出句子的意思。
並且推測出該語言的句法規則、文字意義等。"
語言不僅僅只是溝通的工具，也是一種文化，一種對於該時代的體現，學語言也不只是透過上課學習聽說讀寫就夠了，除了自己在家勤苦練習，也必須與該國人民實際對話，那，才是最純樸的母語。,是有用的工具來多瞭解其他文化，可以擴充閱讀廣度，發掘不同語言結構的樂趣。,從零開始,語言學包括語音學、音韻學、句法學，以及語義學。從一種語言的結構、邏輯，以及字首字尾變化，我們可以推理出不同語言大致上的語義。
語言學是文化的起源、智慧的根本、與社會的基礎。,我認為語言學是以科學的角度、以邏輯推敲語言的脈絡，關心語言中的每個部件，或是試著恢復其他尚需發覺的語言。,研究人類溝通所使用的符號之結構，意義，與應用,我覺得語言學和單純的學習如何使用語言根本南轅北轍，我雖然不擅長國文，但我對於國文的結構等是很有興趣的。我認為語言學是一種結構分析，嘗試去將一種語言解析透徹。
目前只看過官網的簡介，除此之外一無所知,語言，是一切知識的來源，透過語言，我們的科技才能日新月異，也才能方便與人交流,拓展視野,語言學應該是研究不同文化間用語、邏輯、文法的相似及相異處。語言學想要探究的是人類如何取理解並運用語言，進而分析出每種語言的獨特性，也能歸納出不同語言間的共通性。
沒什麼研究，只是有在YouTube看過一些NativLang的影片而已,不甚瞭解,研究人類語言的科學,語言學研究知識系統的管理與應用，涵蓋了語音學、音韻學、句法學、語用學、形態學及語意學，並與人類其他領域的發展有深切關係。
語言學可以幫助我們瞭解我們的祖先，甚至是人類遷徙的路徑,將科學和人類的互動與知識融合,因為他是根據人類生活所需而創造出來的，對我來說語言是平易近人的。,語言學是對語言的研究，有幾種領域，像是語法或意涵
對語言學本身不是很了解，但一想對語言很有興趣，想了解語言這個東西本身的結構跟規則。,利用邏輯推理找出關聯性，並解決問題。,"語言學包含多種面向,有各式各樣的句法和結構,且這些都是有邏輯可以去推斷出來的",語言是一種邏輯，隨著語言的使用，思考的脈絡隨之變化，形成不同的文化。或者反而言之，因文化的不同，而衍生出不同需求的語言。
雖然沒有專門研究語言學，但是我非常享受學習語言的過程，其中的邏輯思考也讓我興奮不已。,很艱難，很酷,邏輯思考要很明確,語言是用來表達以及組織思考的工具，對人類的思考有著潛移默化的影響，也是民族認同的重要媒介
語言學注重在語感理解和邏輯推理，與認識幾種語言其實沒有很大的關係,很困難也有趣,是一個研究語言的學問，利用邏輯推理及語感，推測出一個未知語言的文法結構,文化的傳承，溝通的橋樑
之前沒有特別研究，但看到之後覺得很有趣，想試試看,很深奧，很專業,人類以邏輯、科學方法研究各種語言的結構、語法機制與意義，進而比較、歸納、演繹、延伸出分支學派、應用於生活。,對於中文與印歐語系略懂略懂
研究人類語言的流變、結構, 很棒！很難！但我很喜歡,是個運用科學方法討論分析不同種語言的語法結構和語法比較還有探討語言習得,生活智庫，無所不在
系統性的分解、了解語言之組成與運作,很難，但很有趣,"溝通的必要工具
建立關係的工具
",研究人類所使用的語言
以邏輯、語意等等探究不同的語言,需要很多時間去了解,研究語言的學問,語言學是使用各種語法語意保留各自文化
了解各語言結構,很難，要花很多時間去了解,語言是人與人溝通的媒介，而不同的語言有助於認識各國不同人士的文化，因此學習語言學能夠幫助來自不同背景的人對不同的問題的態度以及切入點為何，也能保存瀕危的文化。,研究語言的科學，與日常生活息息相關，從手機的語音辨識到google翻譯，無所不在。
透過邏輯與分析能力探討語文的架構和意義等…不管是語法或語義及語用，在在都可以看見語言學與我們生活中的關連。,以語言邏輯解出未曾看過的語言所表達之意思,語言學是人類或動物表達語應用的科學，包含歷史的演變，語言結構、語法、語音變化，代表生物大腦生理與心理的表達和表現，進而分析或研究生物或人類的進化過程和各領域發展過程，包含邏輯，藝術，科技，醫學的應用和整合。,"語言學是一門研究各語言語音、構詞、語法的學問，在同一個語言內探索，可以瞭解該語言隨歷史的變遷，在不同語言內間發掘，可以尋覓彼此的關聯。
我對語言學不敢自稱相當精通，卻極富興趣。我曾經讀過國語語法的專書，也稍稍瞭解閩南語的語音系統與歷史變遷，越學越覺得語言學趣味無窮。"
充實我的生活,我覺得語言學讓我更了解人類社會的發展,"I really enjoy to study different linguistics because by learning different languages we can learn a country's culture, religion, etc. In school, we do not learn much about different languages; therefore, this is a good chance to study languages that few people can understand! Although I do not know much about different languages, but I would love to have this chance to  do so.","有讀過一點國文文法
對於外語的語言學暸解較零散，但知道一些印歐語系的文法特徵（屈折語）"
做為溝通的橋樑,I think the laws of language are supercalifragilisticexpialidocious .,每種語言都有其特定的規則、語法,充實自我 
語言的字謎，具有邏輯，但仍須要對語言的直覺，再加上一點心有靈犀。,可以影響思考,研究語言的一種科學，跨學科的研究語言的結構、意義及運用,人與人之間乃至社會群體的文化表現。
"人類用來溝通,記錄歷史的方法",Learning linguistics is fun,"語言學是研究語言的一門學問。一個語言則透露了很多事情：使用它的民族的歷史、地理、性格，甚至是他們算數學時，腦筋的運作方式。語言可以用來溝通，也可以用來把人隔絕在外（例如說，用注音在微博上罵大陸人，或者是用密碼傳訊息）。
其實我也不是很瞭解語言學，腦子也動得不快，不過我覺得語言學超好玩的。",系統研究語言的科學
探究已知或未知語言的文法、語音等各種規律的學問,I think linguistics is useful.,語言不只是溝通的工具，他們代表該語言使用族群的文化與歷史，和生活更是密不可分,十分有興趣，本身是語文資優班，常和同學研究。
語言學是運用系統化的科學方法去研究、歸納語言的特性與發展的一門學問。,語言奧妙無窮，學無止境。,語奧題目好難，完全看不懂。,"語言學在我的理解是有好幾個分支
而在現代的語言學是偏向文法的部分
語音,音韻,構詞學,這些是我曾在書本裡特別注意過的
在填寫這個表單時才有更去了解句法,語意學的定義
我曾在一位國文系教授的課堂些微的聽過關於音韻學的內容"
語言的世界沒有可怕的東西，只有應該去了解學習的東西。,先透過邏輯思考，解出語言間之關連，再結合當地文化的學問,曾經接觸過語言學相關書籍，對於比較語言學和歷史語言學和語系較有興趣，另外對於語音學與IPA有稍微的了解。,語言是邏輯的結晶，除了溝通功能，更是人類文化的積淀；歷史、文學等藝術也由是而生。語言的分歧阻礙了人類的合作，語言學則企圖重建想像的巴別塔，重建的方式不是統一各種語言，而是藉由了解諸語系相似相異的思考脈絡而達到交流、涵化的目標。
語言學是一個很大的領域包含了很多方面,音義、聯音、形狀、文化,語言學分作結構上的理解以及其發展與應用的演變，包括用邏輯歸納一套語言的規則，和人類在溝通和語言歷史上影響的研究。,語言是人與人之間互動的橋樑
對於人類發明的各種語言的文法（結構）及發音位置、習慣的統整及歸納,探索語言的規則，語言與文化的關係，去研究各個國家 民族互相交流或溝通的方式，發現文字的有趣與語言的特色,透過語言認識語言學，有機會時便積極吸收相關資訊。在極淺水灘上的小魚,nooooop
人與人溝通的一種方式,語言學是ㄧ門研究語言的學科，包含語音、詞義等等，把語言以科學的方式歸納整合。,很有趣，但不簡單，每種語言都有它獨特的發音方式，而且會得越多就能跟更多不同的人溝通,零
語言的邏輯推理能力比能夠與母語人士溝通還重要，但是如果對語言有一定程度的掌握，也有或多或少的幫助。,語言的現象,發音很不一樣，大部分的文字都不像中文一樣看字沒辦法念,
不了解,初學,語言學注重邏輯。在任一語言的平常之處，如單字，句子等，找到不同於其他的表達方式，思考後找到其奧妙，並進一步闡釋語言與文化之間的關聯性,
包羅萬象，既融合了自然與人文，也融合了史地，還融合了群體與個人。,只有初步見識 ,討論語言的藝術,
對語言充滿興趣的我，發現其實語言是有一定邏輯和值得一個一個去摸索認識的。語言學包括了許多種領域：句法、詞法、語音等。,以不同角度看待同一件事情,感覺語言學是最實際的學科 因為我們時時刻刻都可以實踐它 生活中大家溝通就是需要語言。另外 語言學存在神奇的邏輯吸引著我 雖然學過的語言不多 但是只要多聽一些句子 就不難發現另一種語言的文法和邏輯～,
探究人類在不同生存環境下所創造與演變出的不同的表達方式，以及類似的概念在不同語言內呈現的內涵、結構與使用機制。,僅一般見識 並未深入研究,"我認為語言學是一種科學
用以描述語言之間的規律與研究語言的起源與演變",
語言學奧林匹亞就是給予考生一項少見或未知語言，並提供該語言之中譯線索，然後題目要求考生以該語言翻譯成考生母語或反之。,"更清楚，更貼近原意的溝通工具
",語言學是一種專們研究語言的科學，並不是要學習所研究之語言，而是要從各個角度去探討語言，以研究該語言之發展脈絡與使用該語言之人之思考模式，當然語言學研究也分為許多的項目，例如：語音學 語義學.......,
一種排列組合和邏輯推理的學問,主要是邏輯問題,深奧的學科,
承載文化基礎，並加速國際溝通的工具,"Linguistics are the study of languages and its structure, how it's formed and its rules. ",無,
人類因不同種族地區文化溝通的一種符號，遍佈於日常生活中。,以有邏輯、有根據的方法研究語言學習的現象,,
"很有趣,邏輯思考力需強",No. Nada.,"需要有很大的思維
跟邏輯的分析",
以邏輯去推理出語言中的規則,得心應手,"我從國中開始就一直對語言很有興趣，而常常字學一些語言，雖然時間真的很有限，但我喜歡研究同語系語言之間的異同，現在也在進行中古漢語、閩南語、客家語、日韓語漢字音變化的研究。同時，也正在字學一些原住民語，但幾乎都在起步階段，只有賽德克語稍微熟一些。

而語言學就我認知大致上分為理論與應用兩類，理論就是探討語言本身，應用即是將理論付諸現實。
個人對於音韻學較有興趣。",
沒有,語言者，乃人類千百年來演化出最精緻之結晶，蘊藏著自上古時期至今的智慧。不敢說對語言學有多大認識，但是自認為對音系學和語音學很有興趣。雖然不為大眾所認識，平常似乎也少見其用處，但事實上卻是門深厚的學問。,語言是個神奇的事物，他可以間接透漏一個民族性，甚至是你的個性。從發音、語法，到文字的選擇使用，都能提醒，你是怎麼樣的一個人,
研究各種語言的發展,溝通的媒介,對於語言很敏感，喜歡推測每句話背後的含義，發現語言的美及規律,
研究各種語言的科學,用研究科學的方法及思維，對於人類社會中使用的各種語言進行意義的剖析、分析結構的演變、與社會文化的關聯性等等。並且享受像解出謎題那一剎那的成就感！,分析語言結構組成的學問,
找尋規律、訓練細心程度和邏輯思考的一門科學,溝通，以任何媒介溝通，都算是語言學研究範疇。,用來溝通交流的工具,
"語言是人與人之間的溝通橋樑，而語言學正是在研究人類語言一門科目。
透過語言學，不僅可以了解到這個人類所創造出來的學問，探討詞語之意義、句法之結構，更能夠透過語言來認識各種不同的文化。畢竟，每個文化所創造出的語言皆有其獨特之處，而語言更代表並展現出每個文化的樣貌。",基本了解,分析語言的科學(？,
沒什麼瞭解,語言學是一門研究語言的科學，透過語言的運作可一窺各個知識領域，及我們的頭腦如何處理語言。,我爸的工作內容,
在廣大汪洋中的一艘小船,"語言學是一門研究語言的學問，其中主要有研究語言的syntax, phonetics, morphology, semantics等。

現代語言學為Chomsky所開發，他認為人類皆是講同一種語言的方言。主要為研究語言與人的思考模式的關係",語言學是研究語言的邏輯、分類、歷史、結構，語言學之於語言就像生物學之於生物。,
據我所知，語言學涵蓋許多層面，內容極為廣泛，對現今發展占有極大的地位。,"語言學是一個專業科目, 從造字到口說都有它存在的意義, 有時候你從一個人說話的口氣以及方式就可以得知他在表答什麼,  就算他說著你聽不懂的語言也可以, 跟造字一樣, 有時你從字面上語言的形狀和念出來的口音便可猜出它的意思
我從小就讀雙語學校, 三歲開始在語言學習黃金期開始學習英文, 使得英文對我來說就像母語一般, 因為如此, 我對外語有著極高的敏感度, 從高中開使又因就讀國際學校, 選修西班牙文, 使得我又對外國語言更加了解, 對語言的敏感度也在次提升了",高深莫測，變化萬千,
用現有知識找出語言中所含有的規律、語言學幫助我們更進一步瞭解文字的演變,Ivan Derzhanski is my hero,只學到一些皮毛而已,
溝通利器,語言很美，學習多語很愉悅。很希望多理解各種語言的邏輯。,"並不全然拘泥於文法或詞性
而是注重表達的藝術",
語言學是一門關於人類語言的科學研究。語法中包含了詞法，句法以及語音。,......,「語言」是我們的工具；我們是「語言學」的工具，它透過我們對文字的詮釋而被築釋得耐人尋味!,
排列組合,邏輯推理和想像力,我認為語言學就是一門研究人類日常必用語言的學問，缺乏語言，就失去了互相溝通、接軌世界、促進世界運轉的可能性。,
能向人溝通的任何方式與行為,語言學應該是與文法、字根、同一個字意的字在不同國家的讀音有關,邏輯概念很重要,
人接收語言訊息不僅僅是耳朵接收聲音資訊而已,感覺很好玩,我覺得語言學是文化的濃縮，也是一門與人溝通的課程,
以科學的方法研究語言的學科，幫助我們了解歷史文化背景的由來，而語言更是物種間的溝通互動行為,我喜歡接觸各國的文字、語言、文化。若語言不只拿來溝通，還有機會分析及探討，會是很酷的事。,"  從小就對邏輯推理有興趣，發現語言學奧林匹亞後我便着迷於網站上五花八門的題目。同時也令我認識到了語言學的多樣性和重要性。
  語言學是語言的架構，也是文化的基礎。在各種詞句構詞、聲韻變換、語法結構中專研題目時，我彷彿也看見了那語言所屬的文化樣貌。",
溝通的媒介,我覺得多語言學習是可以同步並行的，尤其是同一個語系的更能建立一套邏輯幫助學習，語言是工具「工欲善其事，必先利其器。」透過語言能讓我更貼近世界的脈動。,研究溝通及意思表達的學問,
與一般學習語言較不同 比較偏向邏輯推理,語言學是人與人之間橋樑的統整與歸納。是邏輯推理、深思、與探究人類的根本。,我覺得就是要學習很多語言 然後能用所學跟世界不同的人溝通和交流 但是首要條件還是要先學好很多種的語言(感覺對我來說須要很長的時間),
認識一種語言最全面的方式,語言是一門深奧的藝術，或許有些人認為那不過是日常生活的媒介罷了，但事實上，語言學卻是一種化為無形的美，透過簡潔有力的優美詞彙，我們可以運用這種優雅的方式不論是與他人溝通，或是留下亙古名句。,"I think Chomsky was the one who said that the development of language is the most significant distinction between humans and other animals. After all, language displays the brain's ability to recognize patterns and behave in a structured way; simultaneously, it demonstrates the creative pathways behind human achievement and history. Linguistics is that Gordian knot of unraveling meaning through logic.",
語言學是對語言深入的了解,廣大深奧,字根學、語音學,
語言是人類溝通的橋樑，有時能發現不同的語言有一些異曲同工之處，所以感到語言學既深奧又有趣。,透過語言學，不僅可以剖析語言本身的規則和規律，也可以了解其背後的文化和思想邏輯。,"我喜歡分析各國語言和古代語言文字等等，因此一看到語奧的題目就想動筆解，寫的很爽。
",
是一門將符號統整歸納並類推運用的學問,像圖畫，各自有特色。,!Xóõ,
是一門以邏輯思考對溝通的方法及符號進行分析的學問。,個人淺見：不只是死背單字而已，更注重的是文法上、造字上的邏輯，以及閱讀大量文本產生的語感。,"語言學是透過邏輯思考來分析與了解各種語言的結構,語法,發音......等.",
這世界上有好多語言喔,以科學的角度去研究語言,嗯...找出語言的邏輯吧,
語言是人類溝通的方式，有一定的邏輯和字母,系統化分析語言之間之邏輯與連結,充滿邏輯、思考、分析，以及挑戰,
"讓人類可以溝通
每個地方有不同的語言",邏輯推理+有趣的小遊戲,,
與學習語言不同，是研究所有人類語言發展的學問,用科學方法理解、研究語言,,
很有趣,"研究語言的句子結構,音韻",,
研究語言...(?)，有時候可以因此了解文化的演進，像是課本必教的埃及象形文字，跟希伯來文的關係，或者是reservoir這種看起來是從法文來的英文字，都可以看到文化是如何走到今天的,不算太深入研究,,
透過文字的組合方式、聲韻、句法和各種不同角度研究語言的一門學科,"5k4ru.4g4ji32jo4m3u06vm,62k7d04z83",,
有關於世界人類語言的相關事物，可以瞭解起源，及發展，甚至是各國語言的關係,用來研究語意和語彙的一種科學,,
語言會因身處的地方不同，而產生不同的字彙，例如:對因紐特人而言，因居住在如此寒冷的天氣，所以對雪的解釋有很多種。,"透過語言學，可以了解到人類文化的脈絡
他不單單只有文字，圖像這樣表象而已，更需要邏輯和透過思考來分析理解",,
一知半解,利用邏輯解決問題,,
NA,自小以來，聽及的語言學不外乎就是文法結構的頗析以及發音的方法，但在高一時曾在人類學的課的作業中，略得知語言也可以包含語言跟人類文化的關係，以及語言代表當時的社會背景及價值觀。,,
邏輯推理,"語言學並非外語的學習, 而是對世界各種語言的邏輯與分析",,
有關單詞還有不同聲調等會決定語言的意思,"語言學是在探討不同語言的性質。
語言的定義是必須要有分立性、文法、創意性、和穿越時空性。",,
藉由邏輯的分析找出語言之中的規律,很有趣,,
探討語言組成結構中之規則的研究,每一個語系都有自己造字的風格，有時候字與字的排列組合會不一樣，廢話不多說，考完見真章,,
"我認為語言學是一種與生活息息相關的一門學科。
經過時間的沈澱和無數前人的智慧才造就現今語言構成的模樣，而語言學正給了後人一種切入的角度去剖析歷史的推演。",解決人類的各種古代現今的語言文字問題。,,
我們可以透過語言了解不同族群的特色 語言很有趣,語言學研究了許多少數族群的語言，也能從語言裡認識不同的文化，有時候還能從語言中觀察到不同族群的相同性。,,
透過分析語言的句式與結構，進而了解語言背後的意涵和蘊含的文化。,探討一個語言運作的邏輯,,
粗淺了解,其中的分支學門不乏有研究表達意思的語義學。於社會學亦有相關。,,
"字的拆解 組合 
",語言學是研究語言的科學,,
對語言的結構、組成加以分析，不完全是在學習如何運用語言，而是從現有語言當中歸納出使用規則。,研究語言的一門科學，可以透過邏輯歸納、推理的一門學問,,
不甚清楚,略知一二,,
我覺得能與人溝通的方法，就可稱為語言，不論是符號或者文字,運用邏輯和已知單字、語法結構等知識推敲出未知語言的意思,,
很有趣 可以探究一個文化的特性,,,
自我感覺的表達與形容,,,
表達自己的想法與跟別人溝通的工具,,,
語言學可以分成許多分支 例如語法 語句等等,,,
一塌糊塗,,,
研究人類的語言,,,
沒有了解,,,
很古老，卻又在不斷更新的,,,
分析，比較，解構各語言間之差異/探究現行語言之語源，聲韻，文法，語意,,,
或許是一門從眾多語言中找出組合邏輯的學問,,,
研究語言的結構、歷史、邏輯分析等的學問,,,
語言是對世界的想像。,,,
"解構語言的句法、發音等
不只意義層面的探究語言
從語言角度解析人類發展和族群文化。",,,
"是對於語言的研究，包括語法,語意，發音等。以及語言的演變。",,,
對語言進行邏輯推論的學問,,,
是一種在研究還有分析語言的學問,,,
專門研究人類語言的,,,
據我所知，語言學是一門在研究語言的結構和語意的課。 語言學包含了幾種分支領域。其中，有很多不同種類的語言學。,,,
語言是重要的溝通方式之一，也是最能清楚傳達訊息的方法,,,
"·語言學是關於人類語言的研究。
·語言和文化環境有關（ex.小嬰兒會能夠發出任何音，但隨著周遭文化環境的不同，漸漸的便只能發出該文化有使用的音，例如中國人能發出「ㄩ」的音而有些歐洲人則無法；德國人能打舌而大部分台灣人則無法。
又好比不同文化的狀聲詞也不同，例如狗叫聲英文是“woof”，中文則是「汪汪」。",,,
透過邏輯推理及思考，尋找一個語言的規律,,,
"研究語言結構，語音等
",,,
"研究語言的構成和演變方式,還有各語言之間的差異",,,
一門高深且有趣的學問,,,
關於人類語言的研究,,,
人類之間的溝通方式、用以表達內心想法,,,
語言隨著時間、族群遷徙和文化融合的改變，包括文字、聲音、文法等,,,
有關單詞還有不同聲調等會決定語言的意思,,,
人類語言的科學研究,,,
有邏輯的規則,,,
"Eww, linguistics",,,
據我所知，語言學是一門系統性歸類語言的學科。同時，可藉由觀察一族群的語言探討藏於其中的文化和價值觀。我認為學習語言學並不需完全習得該語言，而是需具備細微的觀察力和邏輯力。,,,
了解溝通的模式和習慣,,,
利用邏輯推理出不同語言之間字與詞所代表的意思,,,
似乎對於邏輯、推理、還有模型有相當大的關聯,,,
語言學是一門讓我更了解語言的學科,,,
"需要一定的邏輯思考
又要熱愛這個領域
很愛這個項目",,,
NA,,,
"破解語言中蘊藏的邏輯
揭秘詞句裡基礎的構造
拆解言語，科學地檢視
從客觀的角度發見語言的全貌",,,
"Linguistics is the study of language and its structure. Branches include, but are not limited to, phonetics, phonology, morphology, syntax, semantics, and pragmatics. This is what has built human knowledge and behaviour and will continue building it, as AI is expanding and we continue exploring the origins and nature of language, while trying to preserve and record it.
（因為女兒中文讀寫不太會,故用英文回答)",,,
這門課很不容易,,,
還可以,,,
研究語言與人類文化的關聯,,,
未知且神祕需要深入探討的,,,
"I started to learn English from the age of three, so I considered it as my second language. I studied in a bilingual school during my elementary and middle school year. As I entered an international school in tenth grade, I found out that knowing English and Chinese isn't enough. I decided to learn Spanish to further enhance my global view. In eleventh grade, one of my middle school classmate post on Facebook about IOL, which motivated me to take the examination. I'm surprised that I am given this opportunity to participate in the training session last year. Through the session, I learned that language isn't literally a communicating tool, it means something more than that. I learned how to identify different language by analyzing the clues provided, which improves my logistics skill. Even though I'm not chosen to attend the international competition held in the Czech Republic, I still cherished this experience, and I hope I can succeed this year. ",,,
人類發明語言的本質就是為了溝通，其中又因為過去長期空間的隔離，衍伸出了許多語系。,,,
看到之前語奧的題目覺得有趣,,,
語言學是一門關於人類語言的科學研究。 語言學包含了幾種分支領域。 在語言結構（語法）研究與意義（語義與語用）研究之間存在一個重要的主題劃分。,,,
語言是一種溝通的方式,,,
"有趣
",,,
文化傳承的重要方式,,,
"很讚
有點難
但很讚",,,
參加過去年語奧初選,,,
需要思考和邏輯分析的學科,,,
一概不通，沒有接觸過,,,
是人類溝通與傳承知識重要的一環，也是一種符號學與訊息學，語言在大腦中的奧秘也是非常迷人的知識,,,
有很多領域，例如音韻學、語意學、句法學。需要以客觀的角度分析其規則。,,,
有趣且燒腦,,,
難,,,
不規則裡隱藏著規則與變化邏輯,,,
博大精深很有趣,,,
"研究人類語言中的邏輯以及各項語言所注重的重點
語言產生的目的以及成因
古今詞語差異的成因",,,
我對語言學不甚瞭解，但對英文很有興趣。,,,
人類用來溝通的方法,,,
 ,,,
語言為人類文化的基礎，是現在及未來社會人民所需要的人文素養，不僅是人與人的溝通橋樑，亦是人與自我、自然心意的呈現，語言學科從符號到字、句、段、文，記錄下人類文明發展的變遷。,,,
語言，是人類特有的溝通方式，而語言學即是一門研究人類語言的學科。對我來說語言學能用來彙整、分析各個語言的使用方法，也反映著人類文明會隨著時間改變，抑或是進步。,,,
溝通，文化,,,
大自然所給予我們的溝通上的邏輯,,,
I know how to guess the meanings of words I'm not really familiar with,,,
語言的內在邏輯和各地的文化結晶,,,
