Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Compromise of email accounts of a UK TV station",2017-03-30,"Believed to be the work of APT 28","A threat actor compromised Islam Channel, a small UK TV station, in July 2015. In October 2018, the United Kingdom publicly attributed the compromise to Russian military intelligence.","Denouncement   https://www.ncsc.gov.uk/news/reckless-campaign-cyber-attacks-russian-military-intelligence-service-exposed","Islam Channel","Russian Federation",Espionage,"Private sector",https://www.secureworks.com/research/iron-twilight-supports-active-measures,https://www.ft.com/content/c35aaea2-c8b5-11e8-ba8f-ee390057b8c9,
Leviathan,2017-10-16,"Also known as TEMP.Periscope. Believed to be behind the compromise of Cambodia’s election organizations","This threat actor targets defense contractors, law firms, engineering firms, shipping companies, and government agencies with responsibilities or business in the maritime industry.",,"United States, The Philippines, Asia Pacific Economic Cooperation, Hong Kong",China,Espionage,"Government, Private sector",https://www.proofpoint.com/us/threat-insight/post/leviathan-espionage-actor-spearphishes-maritime-and-defense-targets,https://www.f-secure.com/documents/996508/1030745/nanhaishu_whitepaper.pdf,https://www.fireeye.com/blog/threat-research/2018/03/suspected-chinese-espionage-group-targeting-maritime-and-engineering-industries.html
NotPetya,2017-07-01,"Possibly linked to the same threat actors who designed Black Energy","Threat actors deploy a tool, called NotPetya, with the purpose of encrypting data on victims' machines and rendering it unusable. The malware was spread through tax software that companies and individuals require for filing taxes in Ukraine. Australia, Estonia, Denmark, Lithuania, Ukraine, the United Kingdom, and the United States issued statements attributing NotPetya to Russian state-sponsored actors. In June 2018, the United States sanctioned Russian organizations believed to have assisted the Russian state-sponsored actors with the operation. ","Denouncement   https://ssu.gov.ua/en/news/1/category/2/view/3660#.HyeD9NJ6.dpbs","Rosneft, WPP Plc., Maersk, Cie de Saint-Gobain, SNCF, Merck, Mondelez, Port of Rosario, Kyivenergo, The government of Ukraine","Russian Federation","Data destruction","Government, Private sector",https://www.washingtonpost.com/world/national-security/russian-military-was-behind-notpetya-cyberattack-in-ukraine-cia-concludes/2018/01/12/048d8506-f7ca-11e7-b34a-b85626af34ef_story.html?outputType=tracking&pwa=off&referrer=%24%7BdocumentReferrer%7D&tre…,https://www.theregister.co.uk/2017/06/28/petya_notpetya_ransomware/,https://www.welivesecurity.com/2017/06/30/telebots-back-supply-chain-attacks-against-ukraine/
JadeRAT,2017-10-20,"Possibly linked to APT 30","This threat actor, using a tool called JadeRAT, targets the mobile phones of ethnic minorities in China, notably Uighurs, for the purpose of espionage.

 ",,"Ethnic minorities in China",China,Espionage,"Civil society",https://blog.lookout.com/mobile-threat-jaderat,https://www.cyberscoop.com/lookout-china-scarlet-mimic-jaderat/,
"Bronze Butler",2017-10-12,"Also known as Tick and RedBaldKnight","This threat actor targets organizations in the critical infrastructure, heavy industry, manufacturing, and international relations sectors for espionage purposes.",,"Japan, Korea (Republic of), Russian Federation, China",China,Espionage,"Private sector",https://www.secureworks.com/research/bronze-butler-targets-japanese-businesses,https://www.symantec.com/connect/ja/blogs/tick,https://blog.trendmicro.com/trendlabs-security-intelligence/redbaldknight-bronze-butler-daserf-backdoor-now-using-steganography/
"Indictment of APT 3 threat actors",2017-11-27,,"The U.S. Department of Justice indicted three members of Boyusec, a China-based internet security firm, on charges including conspiring to commit computer fraud and abuse and conspiring to commit trade-secret theft. The victims included Moody’s Analytics, Siemens, and Trimble. Though not mentioned in the indictment, Boyusec is believed to work on behalf of China’s Ministry of State Security.","Denouncement   https://www.justice.gov/opa/pr/us-charges-three-chinese-hackers-who-work-internet-security-firm-hacking-three-corporations","Moody's Analytics, Siemens, Trimble",China,Espionage,"Private sector",https://www.justice.gov/opa/pr/us-charges-three-chinese-hackers-who-work-internet-security-firm-hacking-three-corporations,https://arstechnica.com/tech-policy/2017/11/security-firm-was-front-for-advanced-chinese-hacking-operation-feds-say/,
"APT 10",2017-04-04,"Also known as Cloud Hopper, Red Apollo, CNVX, Stone Panda, MenuPass, and POTASSIUM. Believed to be a part of the Tianjin bureau of the Chinese Ministry of State Security.","This threat actor targets managed information technology service providers to access client information for espionage purposes. APT 10 has been active since at least 2009.",,"Japan, United States, United Kingdom, India, Canada, Brazil, South Africa, Australia, Thailand, South Korea, France, Switzerland, Sweden, Finland, Norway",China,Espionage,"Private sector, Government",https://www.pwc.co.uk/cyber-security/pdf/cloud-hopper-report-final-v4.pdf,http://baesystemsai.blogspot.com/2017/04/apt10-operation-cloud-hopper_3.html,https://www.fireeye.com/blog/threat-research/2017/04/apt10_menupass_grou.html
"Compromise of Kaspersky Labs",2017-10-10,"Believed to be the work of the same threat actors who used the Duqu 2.0 tool. ","A threat actor, believed to be the Israeli government, compromised Kaspersky Labs, a Russia-based cybersecurity company. The compromise of Kaspersky allegedly led Israeli intelligence to tip off U.S. officials that a former contractor had classified data from the National Security Agency on his home computer.",,"Kaspersky Labs",Israel,Espionage,"Private sector",https://www.nytimes.com/2017/10/10/technology/kaspersky-lab-israel-russia-hacking.html?_r=0,https://www.washingtonpost.com/world/national-security/israel-hacked-kaspersky-then-tipped-the-nsa-that-its-tools-had-been-breached/2017/10/10/d48ce774-aa95-11e7-850e-2bdd1236be5d_story.html,
"APT 34",2017-12-07,"Possibly linked to OilRig","This threat actor targets organizations in the financial, energy, government, chemical, and telecommunications sectors in the Middle East for the purpose of espionage.",,"Middle East","Iran (Islamic Republic of)",Espionage,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2017/12/targeted-attack-in-middle-east-by-apt34.html,https://www.wired.com/story/apt-34-iranian-hackers-critical-infrastructure-companies/,
Longhorn,2017-04-10,"Also known as the Lamberts","This threat actor compromises governments, international organizations, academic institutions, and financial, telecommunications, energy, aerospace, information technology, and natural resource  industries for espionage purposes. Some of the tools used by this threat actor were released by Wikileaks under the name ""Vault 7.""",,Global,"United States",Espionage,"Private sector, Government",https://www.symantec.com/connect/blogs/longhorn-tools-used-cyberespionage-group-linked-vault-7,https://securelist.com/77990/unraveling-the-lamberts-toolkit/,
"Phishing campaign against Montenegro",2017-06-06,"Believed to be the work of APT 28","A threat actor targeted officials from Montenegro for the purpose of espionage. The phishing campaign came during the country’s accession to NATO.",,Montenegro,"Russian Federation",Espionage,Government,https://www.cyberscoop.com/apt28-targeted-montenegros-government-joined-nato-researchers-say/,https://www.theregister.co.uk/2017/06/06/russian_hackers_target_montenegro/,http://pwc.blogs.com/cyber_security_updates/2017/06/-montenegro-targeted-ahead-of-nato-accession.html
"Compromise of a Danish Ministry of Defense e-mail service",2017-04-23,"Believed to be the work of APT 28","A threat actor compromised an email service maintained by the Danish Ministry of Defense, and is also believed to have compromised Ministry of Foreign Affairs networks.","Denouncement   https://fe-ddis.dk/cfcs/nyheder/arkiv/2017/Pages/Udenlandskaktoerspionerermoddanskemyndigheder.aspx",Denmark,"Russian Federation",Espionage,"Military, Government",https://translate.google.com/translate?hl=en&sl=da&tl=en&u=https%3A//fe-ddis.dk/cfcs/nyheder/arkiv/2017/Pages/Udenlandskaktoerspionerermoddanskemyndigheder.aspx,http://www.reuters.com/article/us-denmark-security-russia-idUSKBN17P0NR,
"Compromise of the Czech foreign minister's computer",2017-01-31,,"A threat actor compromised the computer networks of the Ministry of Foreign Affairs of the Czech Republic, including those used by the foreign minister and close aides.",,"Czech Republic","Russian Federation",Espionage,Government,https://www.nytimes.com/2017/01/31/world/europe/czech-government-suspects-foreign-power-in-hacking-of-its-email.html?_r=1,http://neovlivni.cz/bleskova-zprava-kdosi-napadl-ucty-ministerstva-zahranici/,
"Targeting of French presidential candidate Emmanuel Macron's campaign",2017-04-26,"Believed to be the work of APT 28","A threat actor targeted the campaign of French presidential candidate Emmanuel Macron. The U.S. National Security Agency has confirmed that it believes Russia was responsible.",,"Emmanuel Macron's 2017 presidential election campaign","Russian Federation",Espionage,"Civil society",https://motherboard.vice.com/en_us/article/evidence-linking-russian-hackers-fancy-bear-to-macron-phishing,https://www.threatconnect.com/blog/activity-targeting-french-election/?utm_campaign=DNC%20Guccifer%202.0%20Fancy%20Bears%20Research&utm_source=twitter&utm_medium=social,http://www.france24.com/en/20170426-france-macron-cyber-security-russia-presidential-campaign
"Magic Hound",2017-02-15,"Also known as Cobalt Gypsy and possibly associated with Rocket Kitten","This threat actor targets entities in the government, energy, and technology sectors that are located in or do business with Saudi Arabia.",,"Saudi Arabia","Iran (Islamic Republic of)",Espionage,"Government, Private sector",http://researchcenter.paloaltonetworks.com/2017/02/unit42-magic-hound-campaign-attacks-saudi-targets/,https://www.secureworks.com/blog/iranian-pupyrat-bites-middle-eastern-organizations,
WhiteBear,2017-08-30,"Associated with Turla","This threat actor targets defense contractors and diplomatic institutions for the purpose of espionage.",,"United States, United Kingdom, Uzbekistan, South Korea","Russian Federation",Espionage,"Government, Private sector",https://securelist.com/introducing-whitebear/81638/,,
"Compromise of the Italian Ministry of Foreign Affairs",2017-02-10,,"A threat actor compromised the Italian Ministry of Foreign Affairs’ computer networks.",,Italy,"Russian Federation",Espionage,Government,https://www.theguardian.com/world/2017/feb/10/russia-suspected-over-hacking-attack-on-italian-foreign-ministry,,
"Operation BugDrop",2017-02-17,,"This threat actor targets critical infrastructure entities in the oil and gas sector, primarily in Ukraine. The threat actors deploy the BugDrop malware to remotely access the microphones in their targets' computers to eavesdrop on conversations.",,"Ukraine, Russia, Saudi Arabia, Austria","Russian Federation",Espionage,"Private sector",https://cyberx-labs.com/en/blog/operation-bugdrop-cyberx-discovers-large-scale-cyber-reconnaissance-operation/,,
"Targeting of employees of companies that operate U.S. nuclear power plants",2017-06-30,,"A threat actor targeted employees of companies that operate nuclear power plants in the United States, which prompted the Department of Homeland Security and the FBI to issue an alert to the industry. An administrative network of the Wolf Creek Nuclear Operating Corporation was compromised.",,"United States","Russian Federation",Espionage,"Private sector",https://www.reuters.com/article/us-usa-cyber-energy/u-s-warns-businesses-of-hacking-campaign-against-nuclear-energy-firms-idUSKBN19L2Z9,https://www.washingtonpost.com/world/national-security/us-officials-say-russian-government-hackers-have-penetrated-energy-and-nuclear-company-business-networks/2017/07/08/bbfde9a2-638b-11e7-8adc-fea80e32bf47_story.html,https://www.us-cert.gov/ncas/alerts/TA17-293A
"Attempted compromise of Norwegian government networks",2017-02-04,"Believed to be the work of the Dukes","A threat actor targeted the computer networks of the Norwegian government: the Ministry of Foreign Affairs, the army, a nuclear radiation protection agency, and a parliamentary group.","Denouncement   http://www.tv2.no/nyheter/8903847/",Norway,"Russian Federation",Espionage,"Government, Military",http://www.ibtimes.co.uk/norway-blames-russia-linked-hackers-cyberattack-targeting-spy-agency-ministries-1604809,http://www.tv2.no/nyheter/8902520/,
"Compromise of Israeli Defense Force personnel",2017-02-16,,"A threat actor used a tool called ViperRAT to target Israeli Defense Force personnel and compromise devices running the Android operating system, allowing a remote actor to access the devices' video and audio capabilities as well as text message and location data.",,"Israel Defense Force",,Espionage,Military,https://securelist.com/blog/incidents/77562/breaking-the-weakest-link-of-the-strongest-chain/,https://blog.lookout.com/blog/2017/02/16/viperrat-mobile-apt/,
"Mexico accused of targeting journalists and civil society groups",2017-06-19,,"A threat actor targets journalists, lawyers, and other civil society groups in Mexico using commercial malware, developed by the NSO Group, for the purpose of espionage.",,"Aristegui Noticias, Carlos Loret de Mola, Mexicans against Corruption and Impunity, Centro PRODH, Mexican Institute for Competitiveness",Mexico,Espionage,"Civil society",https://citizenlab.ca/2017/06/reckless-exploit-mexico-nso/,https://www.nytimes.com/2017/06/19/world/americas/mexico-spyware-anticrime.html,
"Targeting North Korea's Reconnaissance General Bureau",2017-09-30,,"U.S. government officials told the Washington Post that the United States had launched a denial of service campaign against North Korea's Reconnaissance General Bureau, the country's intelligence agency.",,"North Korea","United States","Denial of service",Government,https://www.washingtonpost.com/world/national-security/trump-signed-presidential-directive-ordering-actions-to-pressure-north-korea/2017/09/30/97c6722a-a620-11e7-b14f-f41773cd5a14_story.html,https://arstechnica.com/information-technology/2017/10/as-us-launches-ddos-attacks-n-korea-gets-more-bandwidth-from-russia/,
"Distributed denial of service against the government of Montenegro",2017-02-17,,"A threat actor launched a distributed denial of service attack against government of Montenegro websites.",,Montenegro,"Russian Federation","Denial of service",Government,http://www.gov.me/en/News/169508/Web-portal-of-Government-of-Montenegro-and-several-other-web-sites-were-under-enhanced-cyberattacks.html,http://www.telegraph.co.uk/news/2017/02/28/montenegro-asks-british-help-cyber-attacks-wake-russian-backed/,http://www.balkaninsight.com/en/article/montenegro-govt-on-alert-over-new-cyber-attacks-02-21-2017
"Compromise of cryptocurrency exchanges in South Korea",2017-09-11,"Believed to be the work of a subset of the Lazarus Group known as Bluenoroff","A threat actor targeted cryptocurrency exchanges in South Korea for the purpose of raising money.",,"Cryptocurrency exchanges in South Korea","Korea (Democratic People's Republic of)",Sabotage,"Private sector",https://www.fireeye.com/blog/threat-research/2017/09/north-korea-interested-in-bitcoin.html,https://securelist.com/lazarus-under-the-hood/77908/,
"Compromise of Singapore's Ministry of Defense",2017-02-28,,"A threat actor compromised an internet-facing computer network in the Ministry of Defense of Singapore, compromising the personal data of approximately 850 servicemen and employees.",,"Ministry of Defense",,Espionage,Military,https://www.mindef.gov.sg/imindef/press_room/details.html?name=28feb17_nr&date=2017-02-28,http://www.straitstimes.com/singapore/personal-data-of-850-mindef-servicemen-and-staff-leaked-due-targeted-planned-cyber-attack,http://www.channelnewsasia.com/news/singapore/mindef-internet-system-breached-data-stolen-from-national/3555196.html
"Compromise the North Korean nuclear program",2017-03-04,,"A threat actor, believed to be the United States, targeted computer networks and electronic components associated with the North Korean nuclear program to sabotage and slow its development.",,"North Korea","United States",Sabotage,Military,https://www.nytimes.com/2017/03/04/world/asia/north-korea-missile-program-sabotage.html,,
"Targeting of Marco Rubio's presidential campaign",2017-03-30,,"A threat actor targeted the presidential campaign of U.S. Senator Marco Rubio.",,"The 2016 presidential campaign of Marco Rubio","Russian Federation",Espionage,"Civil society",https://www.nytimes.com/2017/03/30/us/politics/marco-rubio-russian-cyberattacks.html,,
"Compromise of the World Anti-Doping Agency",2016-09-13,"Believed to be the work of APT 28","The World Anti-Doping Agency (WADA) confirmed in September 2016 that it had been compromised by suspected Russian threat actors in a data leak of confidential information about forty-one athletes who competed in the Rio Olympic Games. The data revealed drug-test results and medical data pertaining to “therapeutic use exemptions,” situations in which WADA allows athletes to take banned substances if their usage is deemed legitimate.

A group using the Fancy Bear moniker, the same term some security experts assign to a Russian state-sponsored threat actor, claimed responsibility for the compromise. Some commentators viewed the incident as Russian retaliation for a WADA report that detailed Moscow-sanctioned efforts to provide performance-enhancing drugs to Russian athletes during the 2014 Sochi Winter Olympics.

The United States, Australia, Canada, New Zealand, and the United Kingdom issued statements attributing the incident to Russian military intelligence. Separately, the United States issued an indictment against seven alleged Russian military intelligence officials involved in the incident.","Denouncement   https://www.wada-ama.org/en/media/news/2016-09/wada-confirms-attack-by-russian-cyber-espionage-group","World Anti-Doping Agency","Russian Federation",Espionage,"Civil society",https://www.wada-ama.org/en/media/news/2016-09/wada-confirms-attack-by-russian-cyber-espionage-group,https://www.threatconnect.com/blog/fancy-bear-anti-doping-agency-phishing/,https://www.theguardian.com/sport/2016/nov/25/fancy-bears-hack-again-with-attack-on-senior-anti-doping-officials
"Compromise of gaming companies",2016-10-18,"Believed to be the work of Winnti Umbrella","A threat actor uses a tool called PassCV to target video game companies, stealing digital certificates to use in cyber operations against other targets.",,"China, Taiwan, South Korea, United States, Russia",China,Espionage,"Private sector",https://blog.cylance.com/digitally-signed-malware-targeting-gaming-companies,https://401trg.com/burning-umbrella/,
"Yahoo breach (2014)",2016-09-22,"Same state sponsor as the 2016 breach","A threat actor compromised over approximately five hundred million accounts, giving it access to the names, email addresses, telephone numbers, and dates of birth associated with the accounts. Yahoo discloses that the compromise took place in 2014.",,Yahoo,,Espionage,"Private sector",https://investor.yahoo.net/releasedetail.cfm?releaseid=990570,https://www.theguardian.com/technology/2016/sep/22/yahoo-hack-data-state-sponsored,
"Spear-phishing campaign against Google accounts in 2015",2016-06-26,"Believed to be the work of APT 28","A threat actor conducted a spear-phishing campaign against more than 1,800 Google accounts, including those of military and government personnel, journalists, and nongovernmental organizations, for the purpose of espionage.",,"United States, European Union","Russian Federation",Espionage,"Government, Private sector, Civil society",https://www.secureworks.com/research/threat-group-4127-targets-google-accounts,,
"Lazarus Group",2016-02-01,"Believed to be responsible for Dark Seoul, Ten Days of Rain, the Sony Pictures Entertainment attack, the SWIFT-related bank heists, WannaCry, and Operation GhostSecret. Believed to use the same tools as Covellite. Known to the U.S. government as Hidden Cobra.","This threat actor targets and compromises entities primarily in South Korea and South Korean interests for espionage, disruption, and destruction. It has also been known to conduct cyber operations for financial gain, including targeting cryptocurrency exchanges. In 2018, the U.S. Department of Homeland Security issued a malware analysis report on a tool called Typeframe used by the Lazarus Group.

In September 2018, the U.S. Department of Justice criminally charged and sanctioned Park Jin-hyok and Chosun Expo Joint Venture, alleged members of this threat actor.",,"South Korea, Sony Pictures Entertainment , United States, Bangladesh Bank","Korea (Democratic People's Republic of)",Espionage,"Government, Private sector",https://www.operationblockbuster.com/wp-content/uploads/2016/02/Operation-Blockbuster-Report.pdf,https://securelist.com/blog/sas/77908/lazarus-under-the-hood/,https://www.us-cert.gov/ncas/alerts/TA17-164A
"Shamoon 2.0",2016-12-01,"Believed to have been partially the work of Chrysene","A threat actor used malware known as Shamoon 2.0 to exfiltrate and delete data from computers in the Saudi transportation sector.",,"General Authority of Civil Aviation of Saudi Arabia",,"Data destruction",Government,https://www.bloomberg.com/news/articles/2016-12-01/destructive-hacks-strike-saudi-arabia-posing-challenge-to-trump,https://www.fireeye.com/blog/threat-research/2016/11/fireeye_respondsto.html,https://securelist.com/blog/research/77725/from-shamoon-to-stonedrill/
"SWIFT-related bank heists",2016-05-26,"Believed to be the work of Lazarus Group","A threat actor targets the worldwide financial transfer mechanism known as SWIFT to steal funds from banks in Bangladesh, Vietnam, Ecuador, and Poland. This is the first instance in where a state-sponsored actor was discovered to have compromised networks for financial gain.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.","Criminal charges   https://www.justice.gov/opa/press-release/file/1092091/download","Bangladesh Central Bank, Tien Phong Bank, Banco Del Austro, Poland","Korea (Democratic People's Republic of)",Sabotage,Government,https://www.symantec.com/connect/blogs/swift-attackers-malware-linked-more-financial-attacks,https://www.nytimes.com/2016/05/27/business/dealbook/north-korea-linked-to-digital-thefts-from-global-banks.html?_r=0,https://www.symantec.com/connect/blogs/attackers-target-dozens-global-banks-new-malware
"Compromise of South Korean government computers (2016)",2016-12-06,,"A threat actor compromised computers associated with the South Korean Ministry of National Defense. In October 2017, South Korean officials confirmed that North Korea had exfiltrated over two hundred gigabytes of data from the defense ministry networks, including military plans the United States and South Korea would implement in the event of a war with North Korea.","Denouncement   http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html","South Korea","Korea (Democratic People's Republic of)",Espionage,Military,http://english.yonhapnews.co.kr/news/2016/12/05/0200000000AEN20161205010451315.html,https://www.wsj.com/articles/north-korea-suspected-of-hacking-u-s-south-korean-war-plans-1507636641,
"Denial of service incident against media websites in Sweden",2016-03-19,,"A threat actor launched a denial of service attack on ten news websites in Sweden, triggering a local police investigation. U.S. diplomatic cables later revealed that the United States suspected that Russia was responsible for the incident.",,Sweden,"Russian Federation","Denial of service","Private sector",https://web.archive.org/web/20161224075821/https://polisen.se/Aktuellt/Nyheter/2016/Jan-Mars/Mars/Inledd-forundersokning-med-anledning-av-it-attacker/,https://www.newsweek.com/major-cyber-attacks-false-propaganda-swedish-media-438881,https://www.buzzfeednews.com/article/kevincollier/2016-sweden-ddos-expressen-hack-russia-cables
"Stealth Falcon",2016-05-29,,"This threat actor targets civil society groups and Emirati journalists, activists, and dissidents.",,"United Arab Emirates, United Kingdom","United Arab Emirates",Espionage,"Civil society",https://citizenlab.ca/2016/05/stealth-falcon/,,
"Compromise of the Democratic National Committee",2016-06-14,"This incident is believed to be the work of APT 28. The Dukes were also found to be in the Democratic National Committee's networks.","In June 2016, suspected Russian threat actors were discovered in the networks of the U.S. Democratic National Committee (DNC). Intruders gained access to its research on Republican presidential candidate Donald J. Trump and emails and correspondences among DNC officials. Over the course of the presidential campaign, the threat actors released DNC correspondence through intermediaries such as WikiLeaks, revealing information about infighting among top party officials and leading to the resignation of the DNC chair. The threat actors also went after John Podesta, chairman of Hillary Clinton’s campaign, and released more embarrassing data throughout the summer.

The secretary of homeland security and the director of national intelligence released a joint statement asserting that the protracted cyber espionage campaign was the work of Russian actors. The Barack Obama administration subsequently sanctioned Russian intelligence officials and deported suspected officers working in the United States. The DNC compromise is believed to be part of a larger Russian espionage campaign waged for the purpose of manipulating the electoral systems in Western democracies and undermining faith in the democratic process in the United States, France, Germany, and elsewhere.

In July 2018, the U.S. Department of Justice indicted twelve officials of the Russian military intelligence agency, known as GRU, believed to have been responsible for this incident.

 

In October 2018, the UK government announced that the compromise was the work of Russian military intelligence.","Sanctions   https://obamawhitehouse.archives.gov/the-press-office/2016/12/29/fact-sheet-actions-response-russian-malicious-cyber-activity-and","Democratic National Committee, Democratic Congressional Campaign Committee","Russian Federation",Espionage,"Civil society",https://www.washingtonpost.com/world/national-security/russian-government-hackers-penetrated-dnc-stole-opposition-research-on-trump/2016/06/14/cf006cb4-316e-11e6-8ff7-7b6c1998b7a0_story.html,http://www.esquire.com/news-politics/a49791/russian-dnc-emails-hacked/,https://www.us-cert.gov/security-publications/GRIZZLY-STEPPE-Russian-Malicious-Cyber-Activity
OilRig,2016-01-05,"Also known as Twisted Kitten and Crambus; possibly related to Magic Hound, APT 34, and Chrysene. Believed to use similar tools and infrastructure as Chafer","A threat actor believed to be Iran that targets private-sector and government entities for the purpose of espionage.",,"Israel, Turkey, Qatar, Kuwait, Saudi Arabia, Lebanon, United States","Iran (Islamic Republic of)",Espionage,"Government, Private sector, Civil society",https://researchcenter.paloaltonetworks.com/2016/05/the-oilrig-campaign-attacks-on-saudi-arabian-organizations-deliver-helminth-backdoor/,https://www.gov.il/en/Departments/publications/reports/attack_il,https://www.forbes.com/sites/thomasbrewster/2017/02/15/oilrig-iran-hackers-cyberespionage-us-turkey-saudi-arabia/#381fa5df468a
"Targeting of the Islamic State group",2016-02-28,"Believed to be associated with the United Kingdom’s cyber operations against the Islamic State, revealed in 2018.","The United States announced that it would conduct offensive cyber operations against the Islamic State with a view to disrupting its ability to recruit, communicate with, and exercise command and control over its fighters.",,"The Islamic State Group","United States",Sabotage,"Civil society",http://www.npr.org/templates/transcript/transcript.php?storyId=468446138,https://www.nytimes.com/2016/04/25/us/politics/us-directs-cyberweapons-at-isis-for-first-time.html,https://www.nytimes.com/2017/06/12/world/middleeast/isis-cyber.html
"Operation Sphinx",2016-07-21,,"This threat actor targets government and military organizations in Egypt and Israel for espionage purposes.",,"Egypt, Israel",,Espionage,"Government, Military",https://ti.360.com/upload/report/file/rmsxden20160721.pdf,,
"Compromise of computer networks associated with diplomats, journalists, and others in South Korea",2016-08-01,,"Threat actors targeted the email accounts of South Korean diplomats, journalists, and security officials.","Denouncement   http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html","South Korea","Korea (Democratic People's Republic of)",Espionage,Government,http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html,http://www.theregister.co.uk/2016/08/03/norks_target_90_seoul_officials_journalists_pop_53_email_accounts/,
"Compromise of a mobile app used by Ukrainian artillery units",2016-12-22,"Believed to be the work of APT 28","A threat actor compromised a mobile app that Ukrainian artillery units used to assist with targeting. The compromise of the app is believed to have allowed the threat actor to monitor the movements of Ukrainian units in order to facilitate military targeting by Russian-backed rebels in eastern Ukraine.","Denial   http://www.mil.gov.ua/news/2017/01/06/informacziya-po-vtrati-u-zs-ukraini-80-gaubicz-d-30%E2%80%9D-ne-vidpovidae-dijsnosti/","Ukraine Armed Forces","Russian Federation",Espionage,Military,https://www.crowdstrike.com/wp-content/brochures/FancyBearTracksUkrainianArtillery.pdf,,
"APT 16",2016-12-16,,"This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors.",,"Japan, Taiwan",China,Espionage,"Private sector",https://www.fireeye.com/blog/threat-research/2015/12/the_eps_awakens.html,https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part-two.html,
"Targeting of Kazakh dissidents",2016-08-02,,"Threat actors targeted lawyers and exiled Kazakh dissidents for the purpose of espionage.",,"Kazakh dissidents",Kazakhstan,Espionage,"Civil society",http://www.reuters.com/article/us-kazakhstan-cyber-idUSKCN10D1N2,https://www.eff.org/files/2016/08/03/i-got-a-letter-from-the-government.pdf,
"Attempted compromise of U.S. think tanks",2016-11-09,"Believed to be the work of the Dukes","A threat actor attempted to compromise the networks of U.S. think tanks associated with international affairs and national security. The attempts occurred shortly after the U.S. election in 2016.",,"Council on Foreign Relations, Brookings Institution","Russian Federation",Espionage,"Civil society",https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/,,
"Unnamed Actor",2016-04-13,,"This threat actor compromises civil society groups the Chinese Communist Party views as hostile to its interests, such as Tibetan, Uyghur, Hong Kong, and Taiwanese activist. The threat actor also targeted the Myanmar electoral commission.",,"China, Hong Kong, Taiwan, Myanmar",China,Espionage,"Civil society, Government",https://www.arbornetworks.com/blog/asert/four-element-sword-engagement/,https://citizenlab.org/2016/04/between-hong-kong-and-burma/,
"Prince of Persia",2016-05-02,,"This threat actor targets governments and businesses of multiple countries, including the United States, Israel, and Denmark.",,"Israel, United States, Denmark, Iran, United Kingdom, Canada, France, Germany, Russia, China, Syria, Saudi Arabia, Sweden, Italy, Bahrain","Iran (Islamic Republic of)",Espionage,"Government, Private sector",http://researchcenter.paloaltonetworks.com/2016/05/prince-of-persia-infy-malware-active-in-decade-of-targeted-attacks/,https://fe-ddis.dk/cfcs/CFCSDocuments/Phishing%20uden%20fangst.pdf,http://researchcenter.paloaltonetworks.com/2016/06/unit42-prince-of-persia-game-over/
"Compromise of Burmese government websites",2016-01-12,,"A threat actor compromised Burmese websites in an attempt to compromise visitors to those websites for espionage purposes.",,Myanmar,,Espionage,"Government, Civil society",https://citizenlab.org/2015/10/targeted-attacks-ngo-burma/,https://www.arbornetworks.com/blog/asert/wp-content/uploads/2016/01/ASERT-Threat-Intelligence-Brief-2015-08-Uncovering-the-Seven-Point-Dagger.pdf,http://researchcenter.paloaltonetworks.com/2015/06/evilgrab-delivered-by-watering-hole-attack-on-president-of-myanmars-website/
"Warning of impending incident on Russian banking network",2016-12-02,,"Russian authorities warned that a foreign intelligence agency was seeking to compromise its banking sector.",,Russia,,"Data destruction","Private sector",http://www.fsb.ru/fsb/press/message/single.htm%21id%3D10438041%40fsbMessage.html,http://www.reuters.com/article/us-russia-cyberattack-banks-idUSKBN13R0NG,
"Onion Dog",2016-05-20,"Possibly linked to Icefog and the Dark Seoul compromise","This threat actor targets the South Korean government, transportation, and energy sectors.",,"South Korea",,Espionage,"Government, Private sector",https://ti.360.com/upload/report/file/Operation_OnionDog-20160520-.pdf,http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm,http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml
Mofang,2016-06-15,,"This threat actor compromises government and critical infrastructure entities, primarily in Myanmar, for espionage purposes.",,"Myanmar, Canada, United States, Germany, India, South Korea, Singapore",China,Espionage,"Government, Private sector",https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf,https://www.wired.com/2016/06/revealed-yet-another-chinese-group-hacking-countrys-economic-bottom-line/,
